station_name,lat_wgs84,lon_wgs84,daily_avg,workday_avg,nonworkday_avg,commuter_index,source,year,uic,curve_profile,pct_h00,pct_h01,pct_h02,pct_h03,pct_h04,pct_h05,pct_h06,pct_h07,pct_h08,pct_h09,pct_h10,pct_h11,pct_h12,pct_h13,pct_h14,pct_h15,pct_h16,pct_h17,pct_h18,pct_h19,pct_h20,pct_h21,pct_h22,pct_h23,peak_morning_pct,peak_evening_pct,off_peak_pct
"Vernier, Blandonnet",46.221936,6.097217,5000,,,1.3,estimated_tram_hub,2024,,moderate_commuter_major,0.004613,0.004527,0.00466,0.004764,0.005033,0.009974,0.035748,0.090455,0.119854,0.087057,0.04194,0.028445,0.030281,0.034285,0.04358,0.071531,0.109911,0.115289,0.086975,0.039989,0.014957,0.006783,0.004808,0.00454,0.333114,0.352164,0.314722
Lausanne,46.516795,6.629087,102800,112600.0,81000.0,1.39,sbb_passagierfrequenz_2024,2024,8501120.0,ic_hub_balanced,0.003986,0.003963,0.003926,0.003901,0.00446,0.008592,0.029645,0.075446,0.102108,0.07789,0.051132,0.05312,0.06166,0.064437,0.063678,0.073317,0.095964,0.093744,0.068393,0.033797,0.012889,0.005821,0.004128,0.004001,0.28509,0.291899,0.423011
Renens VD,46.537046,6.57892,25100,29800.0,14600.0,2.04,sbb_passagierfrequenz_2024,2024,8501118.0,ic_hub_commuter,0.004176,0.004149,0.004271,0.004256,0.004132,0.004453,0.025796,0.152872,0.099954,0.023551,0.034456,0.053841,0.069326,0.066443,0.052375,0.036033,0.045578,0.135621,0.130638,0.030285,0.005441,0.004138,0.004166,0.004048,0.302174,0.342121,0.355705
Genève,46.210228,6.142435,80600,89800.0,60100.0,1.49,sbb_passagierfrequenz_2024,2024,8501008.0,terminal_major,0.003711,0.003911,0.003841,0.003936,0.004437,0.010297,0.035958,0.085816,0.116547,0.083666,0.051267,0.050855,0.059892,0.063556,0.060963,0.06754,0.082089,0.08802,0.064979,0.03283,0.012457,0.00557,0.004024,0.00384,0.321986,0.267918,0.410096
Vevey,46.463002,6.84343,25900,28800.0,19500.0,1.48,sbb_passagierfrequenz_2024,2024,8501200.0,moderate_commuter_major,0.004203,0.004011,0.004011,0.004263,0.004658,0.010165,0.035028,0.084085,0.112772,0.08032,0.045354,0.04006,0.047706,0.050025,0.051978,0.069058,0.097271,0.108671,0.077676,0.038824,0.015135,0.006305,0.004384,0.004036,0.312205,0.322443,0.365352
Aigle,46.316856,6.96367,11200,11900.0,9400.0,1.27,sbb_passagierfrequenz_2024,2024,8501400.0,moderate_commuter_major,0.004326,0.004209,0.004181,0.004169,0.004663,0.009122,0.030524,0.080464,0.107723,0.085207,0.049385,0.043838,0.048468,0.052277,0.058264,0.074433,0.100408,0.102052,0.073397,0.035156,0.01323,0.005802,0.004354,0.004347,0.303918,0.311014,0.385068
Morges,46.511102,6.493958,22100,25200.0,15200.0,1.66,sbb_passagierfrequenz_2024,2024,8501037.0,moderate_commuter_major,0.00468,0.004503,0.004517,0.004735,0.004733,0.005924,0.032712,0.127427,0.130687,0.040945,0.027579,0.04066,0.050706,0.053166,0.040967,0.03773,0.07381,0.141642,0.113838,0.036603,0.008515,0.004741,0.00467,0.004513,0.331772,0.365892,0.302336
Montreux,46.435887,6.910425,18000,18100.0,17800.0,1.02,sbb_passagierfrequenz_2024,2024,8501300.0,balanced_moderate,0.004531,0.004517,0.004405,0.004473,0.00465,0.007971,0.025381,0.069468,0.107219,0.089414,0.054274,0.04422,0.052284,0.057381,0.061099,0.077528,0.103173,0.101179,0.067515,0.032373,0.011907,0.005845,0.004758,0.004436,0.291483,0.304239,0.404278
Nyon,46.384429,6.23595,18800,22200.0,11400.0,1.95,sbb_passagierfrequenz_2024,2024,8501030.0,moderate_commuter_major,0.00442,0.004586,0.004516,0.004405,0.004458,0.005788,0.033396,0.135169,0.126332,0.038905,0.027836,0.041002,0.050142,0.051598,0.041088,0.035632,0.076074,0.142283,0.11358,0.036761,0.008328,0.004664,0.004517,0.004517,0.333803,0.368698,0.297499
Genève-Eaux-Vives,46.201461,6.166549,8500,10100.0,5100.0,1.98,sbb_passagierfrequenz_2024,2024,8516273.0,moderate_commuter_small,0.005082,0.00489,0.005028,0.005081,0.005074,0.00659,0.03898,0.156074,0.141091,0.036654,0.018518,0.025367,0.031636,0.031324,0.026496,0.029233,0.077978,0.160526,0.128161,0.042299,0.0089,0.005272,0.004879,0.004867,0.3728,0.408963,0.218237
