station_id,name,lat_wgs84,lon_wgs84,provider_id,address,capacity,vehicle_types,is_virtual
donkey_ge:22361,Quai des Forces-Motrices,46.20419,6.139265,donkey_ge,,3,,False
donkey_ge:22007,Av. de la Jonction,46.20125,6.1282268,donkey_ge,", ",4,,False
donkey_ge:31882,Quai Gustave-Ador,46.209057,6.16604,donkey_ge,", ",10,,False
donkey_ge:18770,Boulevard du Théâtre,46.202385,6.141731,donkey_ge,", ",8,,False
donkey_ge:22099,Grand Morillon IUHEI,46.227886,6.1298637,donkey_ge,,5,,False
donkey_ge:33091,Chemin de l'Emeraude ,46.22056,6.077523,donkey_ge,,10,,False
donkey_ge:29226,Hôpital de Bellerive,46.258766,6.206263,donkey_ge,,5,,False
donkey_ge:18399,Gare Chêne-Bourg ,46.196877,6.195159,donkey_ge,", ",20,,False
donkey_ge:18394,Bains des Pâquis,46.21121,6.152671,donkey_ge,,33,,False
donkey_ge:18415,Carouge Rondeau,46.180313,6.1390624,donkey_ge,,6,,False
donkey_ge:21513,Lamartine,46.209133,6.128647,donkey_ge,,4,,False
donkey_ge:27198,En Chardon (tpg_event),46.223454,6.0909953,donkey_ge,,8,,False
donkey_ge:18728,Chemin de la Caroline,46.19142,6.108348,donkey_ge,,5,,False
donkey_ge:18528,Parc des Eaux-Vives ,46.209373,6.1667147,donkey_ge,,15,,False
donkey_ge:22165,L'Echarpine ,46.21857,6.0921664,donkey_ge,,4,,False
donkey_ge:19627, Hôpital Trois-Chênes,46.20902,6.2154503,donkey_ge,", ",5,,False
donkey_ge:22343,Quai de Cologny 2,46.2164,6.1766014,donkey_ge,,5,,False
donkey_ge:23242,François-Chavaz,46.187737,6.0965643,donkey_ge,,3,,False
donkey_ge:18731,Piscine de Marignac Lancy,46.180202,6.1238675,donkey_ge,,8,,False
donkey_ge:21858,Chemin des Sports,46.20906,6.116958,donkey_ge,,5,,False
donkey_ge:22000,Edouard-Rod,46.212414,6.121748,donkey_ge,,6,,False
donkey_ge:18548,Baby-Plage ,46.208054,6.1634417,donkey_ge,,15,,False
donkey_ge:18567,Rue de la Confédération 2,46.203808,6.1433115,donkey_ge,,6,,False
donkey_ge:22103,Rue du Vidollet,46.216694,6.1381164,donkey_ge,,4,,False
donkey_ge:22126,Rue du Léopard ,46.18802,6.132916,donkey_ge,,5,,False
donkey_ge:18540,Place de la Fusterie,46.20416,6.1460943,donkey_ge,,6,,False
donkey_ge:22146,Grandes-Communes 20,46.19367,6.107494,donkey_ge,,8,,False
donkey_ge:18497,Gare Cornavin gallerie,46.209145,6.1404057,donkey_ge,,10,,False
donkey_ge:22314,Rue Henri-Blanvalet,46.203213,6.1587205,donkey_ge,", ",2,,False
donkey_ge:21504,Avenue d'Aïre,46.20685,6.12005,donkey_ge,,3,,False
