tower_id,operator,technology,has_3g,has_4g,has_5g,power_class,station_type,is_indoor,E_LV95,N_LV95,lat_wgs84,lon_wgs84,source
TOWER_0001,Sunrise VD284-1,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2537953,1152616,46.521966,6.630026,BAKOM/geo.admin.ch (22.02.26)
TOWER_0002,Swisscom VGRA,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2500260,1126500,46.282514,6.144489,BAKOM/geo.admin.ch (22.02.26)
TOWER_0003,Sunrise GE088-4,"Technology 4G,5G",False,True,True,low,Outdoor > 6 Werp,False,2502435,1117266,46.199779,6.174634,BAKOM/geo.admin.ch (22.02.26)
TOWER_0004,Swisscom MONR,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2562655,1124198,46.268167,6.954223,BAKOM/geo.admin.ch (22.02.26)
TOWER_0005,Swisscom PREX,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2524510,1148327,46.482006,6.455551,BAKOM/geo.admin.ch (22.02.26)
TOWER_0006,Salt VS_2206A,"Technology 3G,4G,5G",True,True,True,high,Outdoor > 6 Werp,False,2559383,1129682,46.317308,6.911304,BAKOM/geo.admin.ch (22.02.26)
TOWER_0007,Sunrise GE269-2,"Technology 4G,5G",False,True,True,low,Outdoor > 6 Werp,False,2501918,1127238,46.289396,6.165842,BAKOM/geo.admin.ch (22.02.26)
TOWER_0008,Swisscom PMSJ,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2497766,1113744,46.167409,6.114926,BAKOM/geo.admin.ch (22.02.26)
TOWER_0009,Sunrise GE003-4,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2500990,1116840,46.195736,6.156007,BAKOM/geo.admin.ch (22.02.26)
TOWER_0010,Salt GE_0708B,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2495166,1112017,46.151476,6.081655,BAKOM/geo.admin.ch (22.02.26)
TOWER_0011,Sunrise VD034-3,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2536324,1154204,46.536097,6.608579,BAKOM/geo.admin.ch (22.02.26)
TOWER_0012,Salt VD_4586B,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2549035,1147416,46.476126,6.775015,BAKOM/geo.admin.ch (22.02.26)
TOWER_0013,Salt VS_0716B,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2565740,1117956,46.212182,6.994697,BAKOM/geo.admin.ch (22.02.26)
TOWER_0014,Swisscom LAPD,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2498339,1114511,46.174394,6.122177,BAKOM/geo.admin.ch (22.02.26)
TOWER_0015,Swisscom LSTM,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2538479,1152958,46.525091,6.636835,BAKOM/geo.admin.ch (22.02.26)
TOWER_0016,Sunrise VO237-1,Technology 4G,False,True,False,low,Indoor ≤ 6 Werp,True,2555156,1145201,46.456638,6.854929,BAKOM/geo.admin.ch (22.02.26)
TOWER_0017,Salt VD_1408A,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2563664,1128678,46.308522,6.966962,BAKOM/geo.admin.ch (22.02.26)
TOWER_0018,Salt VD_3913B,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2526891,1151003,46.50634,6.486132,BAKOM/geo.admin.ch (22.02.26)
TOWER_0019,Salt VD_1851A,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2555203,1145028,46.455085,6.855557,BAKOM/geo.admin.ch (22.02.26)
TOWER_0020,Swisscom SAVA,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2567693,1117296,46.206341,7.020049,BAKOM/geo.admin.ch (22.02.26)
TOWER_0021,Sunrise GE951-1,Technology 4G,False,True,False,low,Tunnel,False,2494800,1117980,46.205051,6.075578,BAKOM/geo.admin.ch (22.02.26)
TOWER_0022,Swisscom VMRM,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2554200,1146140,46.46502,6.842392,BAKOM/geo.admin.ch (22.02.26)
TOWER_0023,Swisscom PLOI,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2497348,1113499,46.165141,6.109569,BAKOM/geo.admin.ch (22.02.26)
TOWER_0024,Swisscom GLEV,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2497632,1119692,46.220886,6.11189,BAKOM/geo.admin.ch (22.02.26)
TOWER_0025,Salt VD_7089D,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2538232,1152515,46.521083,6.633676,BAKOM/geo.admin.ch (22.02.26)
TOWER_0026,Swisscom GELS,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2498211,1113290,46.163393,6.120786,BAKOM/geo.admin.ch (22.02.26)
TOWER_0027,Sunrise VD121-1,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2538254,1152885,46.524413,6.633913,BAKOM/geo.admin.ch (22.02.26)
TOWER_0028,Salt VD_5023A,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2554623,1145637,46.460525,6.847948,BAKOM/geo.admin.ch (22.02.26)
TOWER_0029,Sunrise VD068-3,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2537300,1153389,46.528858,6.621412,BAKOM/geo.admin.ch (22.02.26)
TOWER_0030,Swisscom BLAR,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2505201,1136767,46.375575,6.206497,BAKOM/geo.admin.ch (22.02.26)
TOWER_0031,Salt GE_7416A,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2497281,1114125,46.170762,6.108564,BAKOM/geo.admin.ch (22.02.26)
TOWER_0032,Sunrise VD300-2,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2542200,1150950,46.50736,6.685579,BAKOM/geo.admin.ch (22.02.26)
TOWER_0033,Sunrise GE098-1,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2499662,1117032,46.197267,6.138766,BAKOM/geo.admin.ch (22.02.26)
TOWER_0034,Swisscom GEPP,"Technology 3G,4G,5G",True,True,True,low,Outdoor ≤ 6 Werp,False,2499904,1117162,46.198472,6.141872,BAKOM/geo.admin.ch (22.02.26)
TOWER_0035,Swisscom GJCA,Technology 5G,False,False,True,low,Outdoor > 6 Werp,False,2500388,1118911,46.214275,6.147769,BAKOM/geo.admin.ch (22.02.26)
TOWER_0036,Swisscom BASS,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2507375,1146892,46.466949,6.232726,BAKOM/geo.admin.ch (22.02.26)
TOWER_0037,Swisscom MOGO,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2526892,1151004,46.506349,6.486145,BAKOM/geo.admin.ch (22.02.26)
TOWER_0038,Swisscom GSOC,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2498558,1117825,46.204234,6.124294,BAKOM/geo.admin.ch (22.02.26)
TOWER_0039,Sunrise VD091-1,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2540214,1151350,46.510784,6.659654,BAKOM/geo.admin.ch (22.02.26)
TOWER_0040,Sunrise GE002-4,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2501510,1117960,46.205886,6.162506,BAKOM/geo.admin.ch (22.02.26)
TOWER_0041,Sunrise VD593-1,Technology 4G,False,True,False,medium,Outdoor > 6 Werp,False,2523326,1147721,46.47642,6.440234,BAKOM/geo.admin.ch (22.02.26)
TOWER_0042,Sunrise GE094-1,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2499258,1117588,46.202207,6.133413,BAKOM/geo.admin.ch (22.02.26)
TOWER_0043,Swisscom NYNO,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2507808,1138576,46.39221,6.240016,BAKOM/geo.admin.ch (22.02.26)
TOWER_0044,Sunrise VD510-8,"Technology 4G,5G",False,True,True,high,Outdoor > 6 Werp,False,2501819,1144296,46.442808,6.160954,BAKOM/geo.admin.ch (22.02.26)
TOWER_0045,Salt VD_2298A,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2537537,1154662,46.540331,6.624329,BAKOM/geo.admin.ch (22.02.26)
TOWER_0046,Swisscom GEPQ,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2500477,1118790,46.2132,6.148948,BAKOM/geo.admin.ch (22.02.26)
TOWER_0047,Sunrise VD758-1,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2537789,1151322,46.510311,6.628063,BAKOM/geo.admin.ch (22.02.26)
TOWER_0048,Swisscom GBAL,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2497745,1119486,46.21905,6.113399,BAKOM/geo.admin.ch (22.02.26)
