station_id,name,lat_wgs84,lon_wgs84,E_LV95,N_LV95,location_type,wifi_category,wifi_quality_score,operator_network,indoor_outdoor,hours,has_power_outlets,google_rating,google_review_count,connectivity_cluster,wifi_desert,review_mentions_remote_work,day_pass_chf,review_snippet,source,notes
WIFI_001,Parc des Bastions WiFi,46.1988,6.1453,2500168.0,1117195.9,public_park,municipal_wifi,3,((o)) ville-geneve,outdoor,24/7,no,4.6,100,Geneva,no,no,free,"Beautiful library, truly peaceful place to focus",SITG open data,Near UNIGE campus; SMS registration required
WIFI_002,Jardin Anglais WiFi,46.2042,6.1503,2500563.7,1117789.8,public_park,municipal_wifi,3,((o)) ville-geneve,outdoor,24/7,no,,,Geneva,no,no,free,"Geneva lakefront, Jet d'Eau views",SITG open data,Geneva lakefront landmark
WIFI_003,Bains des Pâquis WiFi,46.212,6.1522,2500724.6,1118654.3,public_beach,municipal_wifi,3,((o)) ville-geneve,outdoor,seasonal,no,,,Geneva,no,yes,free,Popular remote work spot per glocals.com,SITG open data,Only lakefront WiFi in corridor outside Lausanne Ouchy
WIFI_004,Plaine de Plainpalais WiFi,46.197,6.14,2499755.6,1117002.6,public_square,municipal_wifi,3,((o)) ville-geneve,outdoor,24/7,no,,,Geneva,no,no,free,"Near HEG, UNIGE",SITG open data,635+ total municipal APs in Geneva
WIFI_005,Promenade du Lac Geneva WiFi,46.206,6.155,2500929.7,1117983.9,public_promenade,municipal_wifi,3,((o)) ville-geneve,outdoor,24/7,no,,,Geneva,no,no,free,,SITG open data,Lakefront promenade — unique in corridor
WIFI_006,Parc Barton WiFi,46.22,6.145,2500183.7,1119552.7,public_park,municipal_wifi,3,((o)) ville-geneve,outdoor,24/7,no,,,Geneva,no,no,free,,SITG open data,Near UN/international district
WIFI_007,Genève-Cornavin SBB-FREE,46.21,6.1426,2499980.2,1118444.2,train_station,sbb_free,4,SBB-FREE,indoor,05:00-01:00,yes,,,Geneva,no,no,free,156k passengers/day; SMS registration,data.sbb.ch,Busiest station on corridor
WIFI_008,Genève-Aéroport SBB-FREE,46.231,6.109,2497427.0,1120821.8,train_station,sbb_free,4,SBB-FREE / Free WiFi GVA,indoor,24/7,yes,,,Geneva,no,no,free,,data.sbb.ch,Airport also has own network
WIFI_009,Impact Hub Geneva,46.2106,6.1412,2499873.2,1118512.7,coworking,coworking,5,Impact Hub,indoor,09:00-18:00 Mon-Fri,yes,4.5,158,Geneva,no,yes,40,Unlimited free coffee and tea; friendly co-working space near Cornavin,Google Places,Innovation hub; CHF 40/day; near Cornavin station
WIFI_010,Spaces Nations,46.2232,6.1479,2500413.3,1119904.7,coworking,coworking,5,Spaces/IWG,indoor,24/7,yes,4.9,139,Geneva,no,yes,79,"Strategic location, few mins walk from train station, lake, and botanical garden",Google Places,Near UN district; premium
WIFI_011,Spaces Quai de l'Ile,46.2051,6.1436,2500048.3,1117898.3,coworking,coworking,5,Spaces/IWG,indoor,24/7,yes,4.6,149,Geneva,no,yes,79,"Wonderful location at the waterfront, close to the station",Google Places,On Rhône island; central Geneva
WIFI_012,Signature by Regus Quartier des Banques,46.203,6.1411,2499851.5,1117668.1,coworking,coworking,5,Regus/IWG,indoor,24/7,yes,4.9,214,Geneva,no,yes,85,Excellent business center with impeccable maintenance,Google Places,Premium; financial district
WIFI_013,Voisins Saint-Gervais,46.2072,6.1401,2499782.1,1118136.2,coworking_cafe,coworking,3,Voisins,indoor,business hours,yes,4.3,93,Geneva,no,yes,45,"WiFi barely works, had to hotspot off my phone. Hard stop at 17h inconvenient",Google Places,WiFi quality issues flagged in reviews — honest pain point
WIFI_014,Spaces Quartier de l'Étang (Vernier),46.2188,6.1034,2496971.9,1119473.1,coworking,coworking,5,Spaces/IWG,indoor,24/7,yes,5.0,95,Geneva,no,yes,79,Modern and well-maintained with good transport links,Google Places,Near Lancy-Pont-Rouge development
WIFI_015,Bibliothèque de Genève (BGE),46.1989,6.1453,2500168.1,1117207.0,library,institutional_wifi,4,PUBLIC_BIB_CENTRE,indoor,"09:00-22:00 Mon-Fri, 09:00-17:00 Sat",yes,4.6,100,Geneva,no,no,free,Open till 10pm on weekdays — triple height ceiling great reading room,Google Places,Free unlimited WiFi; open late
WIFI_016,Bibliothèque municipale de la Cité,46.2028,6.1451,2500159.9,1117640.8,library,institutional_wifi,3,Ville de Genève,indoor,10:00-19:00 Tue-Sat,yes,4.6,244,Geneva,no,no,free,Amazing that this library is open to the public,Google Places,Central location; near Bel-Air tram
WIFI_017,Campus Biotech Geneva,46.222,6.148,2500418.8,1119771.1,university,institutional_wifi,4,UNIGE/EPFL eduroam,indoor,building hours,yes,,,Geneva,no,yes,affiliation required,,campusbiotech.ch,EPFL/UNIGE joint campus; eduroam
WIFI_018,Palexpo Geneva,46.233,6.111,2497585.0,1121041.5,convention_center,commercial_wifi,4,Palexpo Free Access,indoor,event hours,yes,,,Geneva,no,no,free,No registration needed,geneva.info,No registration; event-dependent
WIFI_019,Coppet (no public WiFi),46.316,6.191,2503902.6,1130165.6,town_center,wifi_desert,1,none,N/A,N/A,no,,,desert,yes,no,N/A,,research,"WIFI DESERT 1 — Versoix to Coppet; residential lakeside, no municipal program"
WIFI_020,Nyon SBB-FREE,46.3821,6.24,2507788.9,1137453.8,train_station,sbb_free,4,SBB-FREE,indoor,05:00-01:00,yes,,,Nyon,no,no,free,,data.sbb.ch,Regional hub; NStCM junction
WIFI_021,ATELIER 9 Coworking Nyon,46.3816,6.2395,2507749.6,1137398.8,coworking,coworking,5,Atelier 9,indoor,09:00-18:00 Mon-Thu,yes,5.0,61,Nyon,no,yes,35,"Best co-working space between Geneva and Lausanne; fast internet, privacy booths",Google Places,40 desks; near castle; highly rated
WIFI_022,Bibliothèque de Nyon,46.383,6.239,2507713.5,1137555.0,library,institutional_wifi,3,Nyon Library WiFi,indoor,library hours,yes,,,Nyon,no,no,free,WiFi gratuit et illimité,nyon.ch,Free unlimited WiFi
WIFI_023,PepperHub Gland (at SBB station),46.4217,6.2718,2510300.6,1141818.5,coworking,coworking,4,PepperHub,indoor,08:30-17:30 Mon-Fri,yes,4.6,5,mid-corridor,no,yes,30,"Steps from the station; top security, good access",Google Places,Station-adjacent model — coworking anchored to SBB; DESERT 2 node
