station_name,municipality,operator,google_place_id,station_rating,review_text,tags,sentiment
MOVE Charging Station Turrettini,Genève,MOVE,ChIJtTBBxtdkjEcRQBoeSVbsMGI,1.0,"Horrible no5 working, called hotline they said they can't find this station in their system. And hanged up…. Horrible services",broken_phantom|mentions_transit|wayfinding_hidden,negative
MOVE Charging Station Turrettini,Genève,MOVE,ChIJtTBBxtdkjEcRQBoeSVbsMGI,1.0,This terminal is nowhere to be found in the parking lot 😦,broken_phantom|parking_issues,positive
Shell Recharge Quai du Seujet,Genève,Shell Recharge,ChIJUd13ItdkjEcRmdl-Z08Favs,1.0,"Impossible to disconnect the terminals, lousy customer service hangs up on me while they look for a solution and then doesn't answer me anymore.",,negative
Tesla Supercharger Vernier,Vernier,Tesla,ChIJu2R5AphkjEcRqTmZlaCdytM,3.6,"Finally, a supercharger in Geneva. With limited charging for EVs in this city a Tesla supercharger is a big advantage.",,positive
Tesla Supercharger Vernier,Vernier,Tesla,ChIJu2R5AphkjEcRqTmZlaCdytM,3.6,Worst placement unclear if you need to pay or not. No signs telling you where it is. Just garbage!,payment_friction|wayfinding_hidden,negative
Tesla Supercharger Vernier,Vernier,Tesla,ChIJu2R5AphkjEcRqTmZlaCdytM,3.6,"The access is not obvious to find. You need to enter into the parking lot and get to floor P1. There are lots of stalls and charging is fast. But space is tight and it is not easy to maneuver into a charging spot. It is also not clear, if you stay less than 1 hour, if you need to go to a ticketing station to validate the ticket you were given at the entrance or whether the number plate recognition system recognizes, when you exit, that you do not need to pay.",mentions_transit|parking_issues|payment_friction|positive_experience|wayfinding_hidden,positive
Tesla Supercharger Vernier,Vernier,Tesla,ChIJu2R5AphkjEcRqTmZlaCdytM,3.6,"Not very easy to find, not clear that they are at the 1st floor. However very nice connected to a great shopping mall.",dwell_behavior|positive_experience|wayfinding_hidden,positive
Tesla Supercharger Vernier,Vernier,Tesla,ChIJu2R5AphkjEcRqTmZlaCdytM,3.6,On the 1st floor of P3 parking. There is no signage indicating where it is. Park close to the supercharger as the space is for forward parking and the cables are very short.,parking_issues|wayfinding_hidden,positive
Electra Gland,Gland,Electra,ChIJXx8s2J9EjEcRyosfUM6naA8,5.0,"Fantastic place, good price (considering Switzerland and fastcharging) and the sound of people trying to sing karaoke adds to the experience",dwell_behavior|payment_friction|positive_experience,positive
Electra Gland,Gland,Electra,ChIJXx8s2J9EjEcRyosfUM6naA8,5.0,Really good location. Fast and reliable charging.,positive_experience,positive
Electra Gland,Gland,Electra,ChIJXx8s2J9EjEcRyosfUM6naA8,5.0,Very close to the highway! Fast charging! Very new!,mentions_transit|positive_experience,positive
GOFAST Gland,Gland,GOFAST,ChIJq-t2AXlDjEcRdMfiamCHawo,3.0,"4 charging stations with 8 charging points. DKV card not accepted via RFID. Another driver who arrived at the same time and also wanted to charge was unable to pay with their credit card. Poorly lit, no roof. McDonald's nearby.",dwell_behavior|mentions_transit|payment_friction|safety_environment,negative
GOFAST Gland,Gland,GOFAST,ChIJq-t2AXlDjEcRdMfiamCHawo,3.0,"The seats are a good size, allowing for proper cable handling. Overall, I appreciate Gofast.",dwell_behavior|parking_issues|payment_friction|positive_experience,positive
MOVE Gland,Gland,MOVE,ChIJ191pPJ5EjEcRu9ylFhyArsE,1.0,Very bad cant launch from move app...,payment_friction,positive
eCarUp Nyon,Nyon,eCarUp,ChIJD2BHfthCjEcRZF2Bkb_V1VE,1.0,When will the price of a kilowatt-hour be clearly displayed? Imagine going to a supermarket and not having the price of milk displayed; you would find that unacceptable.,payment_friction|wayfinding_hidden,positive
Shell Recharge Rolle,Rolle,Shell Recharge,ChIJndhnxWRGjEcR76L1AqG8U3M,1.0,"Expensive, unavailable half the time, and the helpdesk is totally unprofessional.",payment_friction,positive
eCarUp Morges,Morges,eCarUp,ChIJZciEfyI3jEcRo9lY13Y1vC0,1.0,"abb charger, doesn't work with plugsurfing and I didnt get it to workt with the app either.",broken_phantom|payment_friction,negative
evpass Morges Hôtel-de-Ville,Morges,evpass,ChIJg8H2WRQ3jEcRCopwacdRSto,1.0,"I tried to charge my car twice.. both times the charge stopped mid-way for no reason. Money was not the issue, because the allowance was greater than the amount charged...",dwell_behavior|positive_experience,positive
Migrol Morges,Morges,Migrol,ChIJW8ZiA4o3jEcROBqcgBRiOQc,4.8,Very easy to use payment system and good variety of food and drinks in the migrolino shop.,dwell_behavior|payment_friction|positive_experience,positive
Migrol Morges,Morges,Migrol,ChIJW8ZiA4o3jEcROBqcgBRiOQc,4.8,"Well located, easy to access",positive_experience,positive
Tesla Supercharger Bussigny,Bussigny,Tesla,ChIJk4ZTHGExjEcRKWEGsSEXZUg,3.8,"I come here in the morning to recharge my model 3, it works perfectly fine. I do my emails and leave within 40 minutes (5->80%) without paying any parking fees.",dwell_behavior|parking_issues|payment_friction|positive_experience,positive
Tesla Supercharger Bussigny,Bussigny,Tesla,ChIJk4ZTHGExjEcRKWEGsSEXZUg,3.8,The best Supercharger in western Switzerland. The Novotel offers you a wonderful place to sit and have a coffee. The hotel offers great meeting rooms for professional reunions as well.,dwell_behavior|positive_experience,positive
Tesla Supercharger Bussigny,Bussigny,Tesla,ChIJk4ZTHGExjEcRKWEGsSEXZUg,3.8,"Humiliating experience. It's in the back of a Novotel, not a very nice one at that. It's paid parking. Except for the hotel, there's absolutely nothing around to bide the time while charging. I went by day, but I wouldn't feel safe going there in the dark, especially because there is no public lights. Cannot recommend.",dwell_behavior|parking_issues|positive_experience|safety_environment,mixed
Tesla Supercharger Bussigny,Bussigny,Tesla,ChIJk4ZTHGExjEcRKWEGsSEXZUg,3.8,"Private parking 2.-/h, but there's actually 1 free hour but you have to go inside the hotel to know about it. Terrible experience for first time users and peak charging at 63kWh.",dwell_behavior|parking_issues|speed_mismatch,negative
Tesla Supercharger Bussigny,Bussigny,Tesla,ChIJk4ZTHGExjEcRKWEGsSEXZUg,3.8,"Very slow charging. The first charger we tried worked for 10 minutes or so, then stopped charging altogether.",speed_mismatch,positive
GOFAST EPFL,Ecublens,GOFAST,ChIJoSi0SvwwjEcR_uDmtFeChxA,4.5,Everything went fine. Max. limit for using the charger is 60 minutes. Charging was successful and fast. Toilets are free in the nearby school and during the day also the Cafe is open.,dwell_behavior|parking_issues|positive_experience,positive
GOFAST EPFL,Ecublens,GOFAST,ChIJoSi0SvwwjEcR_uDmtFeChxA,4.5,"Good charge even if a little slower than Ionity, but much cheaper if you don't have an Ionity subscription",positive_experience|speed_mismatch,positive
GOFAST Crissier,Crissier,GOFAST,ChIJgzzNwnExjEcREtNbfS6poSE,4.1,When there is no one its ok. As soon as another car arrives it stops working.,,positive
GOFAST Crissier,Crissier,GOFAST,ChIJgzzNwnExjEcREtNbfS6poSE,4.1,"It says 300kw, but does 52....",speed_mismatch,positive
GOFAST Crissier,Crissier,GOFAST,ChIJgzzNwnExjEcREtNbfS6poSE,4.1,"This charging station is terrible; the plug isn't compatible, charging is slower than advertised, and the parking spaces are very poorly monitored! When will there be full police presence around the parking areas? I'm worried about my safety and the safety of my car.",mentions_transit|parking_issues|safety_environment|speed_mismatch,negative
GOFAST Crissier,Crissier,GOFAST,ChIJgzzNwnExjEcREtNbfS6poSE,4.1,"Every time we go to France, we stop here to charge. It's always worked perfectly. Since we always charge very early in the morning, it's a shame there are no restrooms. McDonald's is closed then.",dwell_behavior|positive_experience,mixed
Shell Recharge Valentin,Lausanne,Shell Recharge,ChIJdXpsxTEujEcRwDC_Kwn29Kc,3.0,The extension cord is not long enough and there is no way to park the car in any other direction to get closer.,parking_issues,positive
evpass Saint-Martin,Lausanne,evpass,ChIJ18kdHjQujEcREqmgM-e7Qg4,3.5,"In some places, the plugs weren't functional",,positive
evpass Saint-Martin,Lausanne,evpass,ChIJ18kdHjQujEcREqmgM-e7Qg4,3.5,"5 CHF just for parking, before charging. That's excessive.",parking_issues|payment_friction,positive
evpass Saint-Martin,Lausanne,evpass,ChIJ18kdHjQujEcREqmgM-e7Qg4,3.5,Terminal favoring a good location.,positive_experience,positive
Shell Recharge Navigation,Lausanne,Shell Recharge,ChIJ17nXndAvjEcR06rMz7BHU-c,2.8,"Nothing works, still problems with the app and charging stations.",mentions_transit|payment_friction|positive_experience,positive
Shell Recharge Grey,Lausanne,Shell Recharge,ChIJ0_XQU-ExjEcRNQbrRZjQElc,2.5,"Charging peak regularly between 35 and 45 kW. Battery hot, less than 15%",speed_mismatch,positive
Shell Recharge Grey,Lausanne,Shell Recharge,ChIJ0_XQU-ExjEcRNQbrRZjQElc,2.5,38kW today…,,positive
Shell Recharge Genève,Lausanne,Shell Recharge,ChIJG3geISwujEcRackm6F53U-0,4.0,Medium speed charge and many chargers available. Very central and good parking!,mentions_transit|parking_issues|positive_experience,positive
Shell Recharge Grand-Chêne,Lausanne,Shell Recharge,ChIJ0zJBezIujEcRJrm95ROR-Dk,4.0,Well equipped for charging your car or scooter.,positive_experience,positive
MOVE Berne,Lausanne,MOVE,ChIJF0z3i2UujEcRbBAPwjYSEQU,3.3,"It is almost impossible to find behind the hotel in the paid parking lot inside on the terrace, right entrance.",dwell_behavior|parking_issues|wayfinding_hidden,negative
MOVE Berne,Lausanne,MOVE,ChIJF0z3i2UujEcRbBAPwjYSEQU,3.3,The 50kW station does not exist!,broken_phantom|mentions_transit,positive
Plenitude Lavaux A9,Bourg-en-Lavaux,Plenitude,ChIJx0GcAdMojEcRhh_-FfyVv2U,2.3,In theory the charger can be used by 2 cars but only one spot to park 🙄,,positive
Plenitude Lavaux A9,Bourg-en-Lavaux,Plenitude,ChIJx0GcAdMojEcRhh_-FfyVv2U,2.3,Sort it out!! Why EV pass or other charge cards not working when they used to. Don't operate if you can't service,broken_phantom,negative
Plenitude Lavaux A9,Bourg-en-Lavaux,Plenitude,ChIJx0GcAdMojEcRhh_-FfyVv2U,2.3,Doesn't accept any charging card. Useless,,negative
Plenitude Lavaux A9,Bourg-en-Lavaux,Plenitude,ChIJx0GcAdMojEcRhh_-FfyVv2U,2.3,"Zero! 3 sockets, 1 place, forced to download an app, run away! Really not practical, the engineer had to drink 4 L of gentian before giving the plan to quality control who were asleep.",payment_friction,positive
Plenitude Lavaux A9,Bourg-en-Lavaux,Plenitude,ChIJx0GcAdMojEcRhh_-FfyVv2U,2.3,"Overpriced, 50kW instead of the promised 100kW, even though there's only one charging station. Everything has to be registered through the app, and charging takes over 20 minutes. CHF 0.75 per kW is too much. Direct payment with KC or Twint isn't possible. It's best to avoid it.",mentions_transit|payment_friction|speed_mismatch,positive
Shell Recharge Lutry,Lutry,Shell Recharge,ChIJ9XMaPD0vjEcR_dKWLmfo_qQ,4.0,"The 22kW charging station works perfectly. The parking space is generously sized. Two outlets are available. Please remember to pay the parking fee in this parking lot, or you'll be fined! The police of Lutry are watching!",mentions_transit|parking_issues|payment_friction|positive_experience,positive
evpass Lutry Rivage,Lutry,evpass,ChIJl8sIAD0vjEcRZSncIolbA6U,1.0,Doesn't work,broken_phantom,negative
MOVE Lavaux Autoroute,Bourg-en-Lavaux,MOVE,ChIJ3_nQStIojEcRiC7o6jSzs_s,2.8,"None of the CCS chargers would work. One hors service, one without a QR code, the third internal error.",broken_phantom|no_connectivity,positive
MOVE Lavaux Autoroute,Bourg-en-Lavaux,MOVE,ChIJ3_nQStIojEcRiC7o6jSzs_s,2.8,"81c/kwh autogrill, view",dwell_behavior|mentions_view,positive
MOVE Lavaux Autoroute,Bourg-en-Lavaux,MOVE,ChIJ3_nQStIojEcRiC7o6jSzs_s,2.8,"Horrible experience. At night in the rain, nothing worked or was visible. We had to call several times and ended up soaked and freezing. The charging stations have a deplorable design and reliability.",mentions_transit|safety_environment,negative
MOVE Lavaux Autoroute,Bourg-en-Lavaux,MOVE,ChIJ3_nQStIojEcRiC7o6jSzs_s,2.8,The card isn't working for the first time; it's only charging at 44kW even though the battery is empty!,speed_mismatch,positive
