nom;matiere;dossier;accoudoir;rev_sol;geometry
Léman;Bois;Oui;Oui;Bitume;POINT (2536272.489342321 1152290.1045707306)
Léman;Bois;Oui;Oui;Bitume;POINT (2536235.98427874 1153605.3598502649)
Léman;Bois;Oui;Oui;Bitume;POINT (2537022.91015625 1151897.94921875)
Léman;Bois;Non;Non;Bitume;POINT (2537833.3542797216 1152663.3705451456)
Léman;Bois;Oui;Oui;Pavage;POINT (2538040.470711486 1152399.2249267306)
Léman;Bois;Oui;Oui;Bitume;POINT (2538041.131791703 1152563.8339005818)
Léman;Bois;Oui;Oui;Dalles;POINT (2538139.412383855 1152593.3621502419)
Léman;Bois;Oui;Oui;Dalles;POINT (2538107.3499933663 1152592.3705299173)
Léman;Bois;Oui;Oui;(Pas de seléction);POINT (2538010.5017416812 1152413.4381513796)
Léman;Bois;Non;Non;(Pas de seléction);POINT (2538041.269516746 1152601.4879278995)
Léman;Bois;Non;Non;(Pas de seléction);POINT (2538042.1509570344 1152599.1190571245)
Léman;Bois;Oui;Oui;Pavage;POINT (2538037.7437555925 1152600.4963075751)
Léman;Bois;Non;Non;(Pas de seléction);POINT (2538116.3939379887 1152576.6423297722)
Léman;Bois;Non;Non;(Pas de seléction);POINT (2538117.2019249196 1152574.2918223366)
Léman;Bois;Oui;Oui;Perméable;POINT (2536338.3345940905 1152320.6036120798)
Léman;Bois;Non;Non;(Pas de seléction);POINT (2538119.6258857124 1152573.9245555496)
Léman;Bois;Non;Non;(Pas de seléction);POINT (2538121.9763931483 1152574.3652756938)
Léman;;;;;POINT (2538312.8785581533 1152825.8667473043)
Léman;Bois;Oui;Oui;Perméable;POINT (2536380.1073882245 1152341.626165581)
Spadom (métal);Métal;Oui;Non;Bitume;POINT (2538242.3579388075 1154550.8431178986)
Béton;Béton;Non;Non;Pavage;POINT (2538156.617562265 1153858.6246415232)
Spadom;Bois;Oui;Non;Pavage;POINT (2537097.22202608 1152016.12455368)
Spadom;Bois;Oui;Non;Pavage;POINT (2537106.6978427144 1152010.7406974244)
Béton;Béton;Non;Non;Bitume;POINT (2537160.4437117046 1152215.4397673989)
Béton;Béton;Non;Non;Bitume;POINT (2537195.2360835834 1152096.035645017)
Béton;Béton;Non;Non;Bitume;POINT (2537246.0055323127 1152083.7660857793)
Béton;Béton;Non;Non;Bitume;POINT (2537376.379213429 1152148.9495669769)
Autre;Bois;Oui;Non;Autre;POINT (2537368.7911192616 1152065.7420085843)
Léman;Bois;Oui;Oui;Bitume;POINT (2538161.0178008745 1151619.2560327947)
Spadom;Bois;Oui;Non;Bitume;POINT (2537538.8484129757 1152044.9843554758)
Spadom;Bois;Oui;Non;Bitume;POINT (2537550.144124873 1152040.4661877702)
Léman;Bois;Oui;Oui;Bitume;POINT (2538138.7146944357 1152798.0749240792)
Lausanne;Bois;Oui;Oui;Gravillon;POINT (2538391.482386757 1153927.0838008116)
Design 6;Bois;Oui;Non;Pavage;POINT (2537947.8534780317 1151949.5421023672)
Design 6;Bois;Oui;Non;Pavage;POINT (2537942.88154717 1151951.3177452164)
Spadom;Bois;Oui;Non;Pavage;POINT (2537519.833265579 1152948.6318367708)
Spadom;Bois;Oui;Non;Pavage;POINT (2537509.98855924 1152932.9260440578)
Spadom;Bois;Oui;Non;Pavage;POINT (2537512.7493839706 1152936.9301923676)
Spadom;Bois;Oui;Non;Pavage;POINT (2537517.0239240793 1152944.054563272)
Léman;Bois;Oui;Oui;Bitume;POINT (2538127.6351654017 1152774.007724899)
Léman;Bois;Oui;Oui;Perméable;POINT (2536523.834120583 1152369.1842279432)
Léman;Bois;Oui;Oui;Bitume;POINT (2538151.486929295 1152822.6345467723)
Urban;Bois;Oui;Oui;(Pas de seléction);POINT (2539954.5688688927 1153101.2426700469)
Léman;Bois;Oui;Oui;Gravillon;POINT (2537461.2630469226 1154956.705721139)
Autre;Bois;Non;Non;(Pas de seléction);POINT (2538050.8852257417 1152477.8025747961)
Autre;Bois;Non;Non;(Pas de seléction);POINT (2538089.7183543104 1152474.9331317984)
Léman;Bois;Oui;Oui;Béton;POINT (2537726.0389246154 1151224.154842304)
Design 1;Bois;Non;Non;Bitume;POINT (2538163.2177395024 1154345.0001157925)
Spadom;Bois;Oui;Non;Bitume;POINT (2537750.354792458 1150877.2773622803)
Spadom;Bois;Oui;Non;Bitume;POINT (2537751.6329449485 1150880.3449830608)
Léman;Bois;Non;Non;Bitume;POINT (2538430.820407475 1151419.5767117774)
Spadom;Bois;Oui;Non;Bitume;POINT (2537752.9111003787 1150883.6682379318)
Spadom;Bois;Oui;Non;Bitume;POINT (2537770.549172757 1150888.4402350448)
Spadom;Bois;Oui;Non;Bitume;POINT (2537774.298406734 1150896.2797147639)
