nb_places;code_tarif;geometry
4;10874;MULTIPOLYGON (((2538409.1470156237 1152057.0933833572,2538419.8688322837 1152056.071026254,2538421.43391588 1152051.8420981327,2538410.691753732 1152052.9194296785,2538409.1470156237 1152057.0933833572)))
2;10874;MULTIPOLYGON (((2538445.9692639154 1152053.684673046,2538451.2948170453 1152053.0869548095,2538452.695379754 1152048.83479114,2538447.387332325 1152049.3753841636,2538445.9692639154 1152053.684673046)))
5;;MULTIPOLYGON (((2539749.0985953948 1153308.665335672,2539747.318582427 1153308.0252161203,2539745.9155037017 1153312.155654477,2539747.622690198 1153313.0141035013,2539749.0985953948 1153308.665335672)))
2;;MULTIPOLYGON (((2539376.181854939 1153469.390424456,2539376.039882001 1153474.0097812572,2539377.0993904737 1153474.0423592092,2539377.241363645 1153469.4229948127,2539376.181854939 1153469.390424456)))
2;10874;MULTIPOLYGON (((2538251.3663527938 1152116.5201756365,2538253.244852146 1152115.9607876039,2538250.499223104 1152106.7411521627,2538248.620731722 1152107.3005346928,2538251.3663527938 1152116.5201756365)))
4;;MULTIPOLYGON (((2535998.643923125 1153350.975530073,2536014.476808622 1153364.6770874853,2536015.762375162 1153363.197681346,2535999.8729485325 1153349.3902010876,2535998.643923125 1153350.975530073)))
10;;MULTIPOLYGON (((2536003.453483223 1153322.3561387183,2536004.23625025 1153324.1530587608,2536014.874633276 1153319.5565970899,2536020.498609798 1153317.660248834,2536037.727779875 1153312.9632385466,2536051.7353627267 1153309.3553099295,2536051.2048960607 1153307.4744500727,2536037.215500307 1153311.1298065064,2536020.6361240074 1153315.571671466,2536014.6135196113 1153317.523311693,2536003.453483223 1153322.3561387183)))
6;11376;MULTIPOLYGON (((2536449.2571286154 1151961.7896767335,2536433.824663885 1151934.4851613457,2536432.115740234 1151935.4445656717,2536447.708891214 1151962.6172553801,2536449.2571286154 1151961.7896767335)))
1;;MULTIPOLYGON (((2536165.0404658066 1153274.3037544906,2536157.91416742 1153275.977076287,2536158.380381191 1153277.9618437772,2536165.5064794277 1153276.2876698982,2536165.0404658066 1153274.3037544906)))
10;10874;MULTIPOLYGON (((2537556.9974775673 1152480.0268709387,2537532.4950098717 1152487.905165174,2537533.7912426386 1152492.0462845901,2537558.275339833 1152484.0802601962,2537556.9974775673 1152480.0268709387)))
1;;MULTIPOLYGON (((2538689.8736673836 1152294.587473439,2538702.2883783313 1152291.3586635352,2538701.5834099106 1152288.6207732635,2538689.1628862536 1152291.8378375473,2538689.8736673836 1152294.587473439)))
1;10874;MULTIPOLYGON (((2537868.997367916 1152377.4362426612,2537874.042538024 1152376.5639475011,2537873.708481029 1152374.632581885,2537868.6634151167 1152375.504942222,2537868.997367916 1152377.4362426612)))
2;10874;MULTIPOLYGON (((2538532.739571458 1152357.668174776,2538531.070292994 1152358.695359964,2538536.373922644 1152367.31428754,2538538.043201107 1152366.287102351,2538532.739571458 1152357.668174776)))
4;;MULTIPOLYGON (((2538541.104093097 1152182.9565572946,2538556.6878116257 1152173.8772425882,2538555.723380278 1152172.206732009,2538540.1140546775 1152181.327566961,2538541.104093097 1152182.9565572946)))
2;;MULTIPOLYGON (((2538719.1599108023 1152278.5396961179,2538720.993531788 1152277.6350222586,2538715.7228727243 1152267.3777006445,2538713.8929358786 1152268.2621922344,2538719.1599108023 1152278.5396961179)))
2;;MULTIPOLYGON (((2538477.4985207315 1152290.9794015381,2538472.477791174 1152291.006571074,2538472.505582189 1152293.006871778,2538477.364436963 1152292.842417417,2538482.239185182 1152293.378596978,2538482.600793732 1152291.431482899,2538477.4985207315 1152290.9794015381)))
2;10874;MULTIPOLYGON (((2538686.5268266927 1152214.3117983022,2538691.0246604905 1152223.1568462804,2538692.8064887137 1152222.2772071431,2538688.274505639 1152213.4241865387,2538686.5268266927 1152214.3117983022)))
1;;MULTIPOLYGON (((2538549.937716399 1152291.0821918745,2538553.820374679 1152291.3030482866,2538556.0704686968 1152291.3074189092,2538556.0386087596 1152289.4438861322,2538553.831524419 1152289.4084621926,2538550.1054520863 1152289.2343584085,2538549.937716399 1152291.0821918745)))
1;10874;MULTIPOLYGON (((2538571.490959369 1152289.007012498,2538576.4979863074 1152287.937120404,2538576.0884135794 1152286.020439836,2538571.090840734 1152287.1345799172,2538571.490959369 1152289.007012498)))
1;;MULTIPOLYGON (((2538955.9722028016 1152076.4122206483,2538960.728734821 1152073.174162545,2538959.651666001 1152071.56967188,2538954.884063346 1152074.8256818024,2538955.9722028016 1152076.4122206483)))
