nom;nb_places;type;type_txt;duree_max;url;geometry
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538269.4365979615 1152277.1703810403)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537713.9488254758 1152860.144288128)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537687.8462483184 1152880.8901156215)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537991.9821930598 1153727.6953109086)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2534475.0713835987 1152503.9139146379)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2539276.801477486 1151705.257155471)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538571.9179352187 1152330.5541308231)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538037.5738805532 1152423.2614006344)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538474.921974285 1152120.8947485823)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2538378.2971286066 1154007.4806648414)
;1;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537699.0325364354 1151974.2152458583)
;3;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537748.159707682 1150830.751915371)
;2;13;Places handicapés;Illimité;"<a href=""https://www.lausanne.ch/vie-pratique/mobilite/parkings-stationnement"" target=""_blank"">Lien vers les pages du stationnement</a>";POINT (2537543.038848205 1152243.5790953285)
